id,port,ship,date,duration_nights,lead_in_pp_usd,cruise_total_2,flight_route,flight_2,trip_total_2,official_deep_link,schedule_source,independent_crosscheck_or_note,result
MIA6-01,"Miami, FL",Brilliant Lady,2027-03-04,4,636,"$1,272",SFO → MIA → SFO,$844 planning estimate,"$2,116",https://www.virginvoyages.com/book/voyage-planner/pre-checkout?currencyCode=USD&packageCode=4NKW&voyageId=BR2703044NKW,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-02,"Miami, FL",Allure of the Seas,2027-02-28,7,1358,"$2,716",SFO → MIA → SFO,$844 planning estimate,"$3,560",https://www.royalcaribbean.com/cruises/itinerary/7-night-eastern-caribbean-from-miami-on-allure/AL07MIA-2574420622?sail-date=2027-02-28&currency=USD,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-03,"Miami, FL",Carnival Celebration,2027-02-28,7,591,"$1,182",SFO → MIA → SFO,$844 planning estimate,"$2,026",https://www.carnival.com/itinerary/7-day-eastern-caribbean-cruise/miami/celebration/7-days/cb9/?sailDate=02282027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights) || Independent cross-check: cruisebound.com/sailing/81527 confirms Carnival Magic 6-day Eastern Caribbean departing Miami 28 Feb 2027 returning 6 Mar with Celebration Key / Amber Cove / Grand Turk. NOTE PRICE VOLATILITY: feed Interior $439 pp vs cruisetimetables ship page $467, icruise $408 and cruisesonly $403 - schedule verified, price indicative only",VERIFIED
MIA6-04,"Miami, FL",Carnival Magic,2027-02-28,6,439,$878,SFO → MIA → SFO,$844 planning estimate,"$1,722",https://www.carnival.com/itinerary/6-day-eastern-caribbean-cruise/miami/magic/6-days/ce9/?sailDate=02282027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-05,"Miami, FL",Celebrity Xcel,2027-02-28,7,892,"$1,784",SFO → MIA → SFO,$844 planning estimate,"$2,628",https://www.celebritycruises.com/itinerary/7-night-st-thomas-antigua-cruise-from-miami-on-xcel-XC07E473?sailDate=2027-02-28&packageCode=XC07E473,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-06,"Miami, FL",Explora III,2027-02-28,14,9675,"$19,350",SFO → MIA → SFO,$844 planning estimate,"$20,194",https://www.explorajourneys.com/us/en/destinations-globe/car/journeys/miamia-14-v10?id-journey=EL20270228MIAMIA&id-offer=airinclusa,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-07,"Miami, FL",Norwegian Aqua,2027-02-28,7,1089,"$2,178",SFO → MIA → SFO,$844 planning estimate,"$3,022",https://www.ncl.com/vacation-builder?itineraryCode=AQUA7MIAPOPSTTTOVNPIMIA-NIC-AQUA7MIANPIPOPSTTTOVMIA&packageId=23353056&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-08,"Miami, FL",Resilient Lady,2027-02-28,7,973,"$1,946",SFO → MIA → SFO,$844 planning estimate,"$2,790",https://www.virginvoyages.com/book/voyage-planner/pre-checkout?currencyCode=USD&packageCode=7NONB&voyageId=RS2702287NONB,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-09,"Miami, FL",Norwegian Sun,2027-03-24,12,1819,"$3,638",SFO → MIA → SFO,$844 planning estimate,"$4,482",https://www.ncl.com/vacation-builder?itineraryCode=SUN12MIAOCJGECCTGPCGCLNLIOBPICZMMIA-NIC-SUN12MIABPICLNCTGCZMGECLIOOCJPCGMIA&packageId=23377871&stateroomTypeCode=INSIDE&,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-10,"Miami, FL",Zuiderdam,2027-03-24,4,549,"$1,098",SFO → MIA → SFO,$844 planning estimate,"$1,942",https://www.hollandamerica.com/en/us/find-a-cruise/c7e04a/u724,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-11,"Miami, FL",Zuiderdam,2027-03-24,14,1494,"$2,988",SFO → MIA → SFO,$844 planning estimate,"$3,832",https://www.hollandamerica.com/en/us/find-a-cruise/c7x14m/u724a,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-12,"Miami, FL",Carnival Conquest,2027-03-15,4,365,$730,SFO → MIA → SFO,$844 planning estimate,"$1,574",https://www.carnival.com/itinerary/4-day-the-bahamas-cruise/miami/conquest/4-days/bhr/?sailDate=03152027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-13,"Miami, FL",Carnival Sunrise,2027-03-15,5,427,$854,SFO → MIA → SFO,$844 planning estimate,"$1,698",https://www.carnival.com/itinerary/5-day-the-bahamas-cruise/miami/sunrise/5-days/bh9/?sailDate=03152027,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-14,"Miami, FL",Freedom of the Seas,2027-03-15,5,548,"$1,096",SFO → MIA → SFO,$844 planning estimate,"$1,940",https://www.royalcaribbean.com/cruises/itinerary/5-night-western-caribbean-from-miami-on-freedom/FR05MIA-1172079608?sail-date=2027-03-15&currency=USD,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
MIA6-15,"Miami, FL",Margaritaville at Sea Beachcomber,2027-03-15,5,429,$858,SFO → MIA → SFO,$844 planning estimate,"$1,702",https://margaritavilleatsea.com/,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights) || Independent cross-check: southamptoncruisecentre.com lists Zuiderdam '24 Mar 2027, 4 nights, Miami - Key West - At Sea - Half Moon Cay - Miami', matching the captured port sequence exactly. MATCH",VERIFIED
MIA6-16,"Miami, FL",MSC Seaside,2027-03-15,4,281,$562,SFO → MIA → SFO,$844 planning estimate,"$1,406",https://www.msccruisesusa.com/itinerary-details/4-nights-the-bahamas--ocean-cay?cruiseid=SE20270315MIAMIA,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights) || Independent cross-check of the same-day/different-duration pair: HollandAmerica official page for cruise code U724A (14-DAY EASTERN & SOUTHERN CARIBBEAN: KEY WEST & ABC ISLANDS) confirms SailingDate 2027-03-24 from MIA, and cruiseweb.com separately lists BOTH a 14-night (Mar 24) and the short Zuiderdam Miami getaway - two distinct bookable products, not a duplicate. MATCH",VERIFIED
MIA6-17,"Miami, FL",MSC Seaside,2027-03-15,7,615,"$1,230",SFO → MIA → SFO,$844 planning estimate,"$2,074",https://www.msccruisesusa.com/itinerary-details/7-nights-caribbean--bahamas?cruiseid=SE20270315MIAMI1,https://www.cruisetimetables.com/cruises-from-miami-florida-2027.html,"Primary source read line by line: cruisetimetables PER-DAY from-port 2027 page (official cruise-line fare feed) + the official cruise-line deep link carried on that same page; targeted by a per-port date-coverage audit of all 45 in-window dates; dedup-checked against master by (port, ship, date, nights)",VERIFIED
