id,port,ship,date,duration,interior_pp_usd,cruise_total_2,flight_route,flight_2,trip_total_2,official_deep_link_verified,independent_crosscheck,result
GAL-01,"Galveston, TX",Carnival Breeze,2027-02-18,4,417,834,SFO-HOU-SFO,600,1434,carnival.com sailDate=02182027,cruisetimetables Feb2027 day page,VERIFIED
GAL-02,"Galveston, TX",Carnival Dream,2027-02-27,7,648,1296,SFO-HOU-SFO,600,1896,carnival.com sailDate=02272027,cruisetimetables 27feb2027 day page,VERIFIED
GAL-03,"Galveston, TX",Norwegian Viva,2027-02-27,7,859,1718,SFO-HOU-SFO,600,2318,ncl.com packageId=23369093,cruisetimetables 27feb2027 day page,VERIFIED
GAL-04,"Galveston, TX",Carnival Jubilee,2027-02-28,6,530,1060,SFO-HOU-SFO,600,1660,carnival.com sailDate=02282027,cruisetimetables 28feb2027 day page,VERIFIED
GAL-05,"Galveston, TX",MSC Seascape,2027-02-28,7,470,940,SFO-HOU-SFO,600,1540,msccruisesusa SC20270228GLSGLS,cruisetimetables 28feb2027 (MSC 'From' fare),VERIFIED (lead-in From fare)
GAL-06,"Galveston, TX",Symphony of the Seas,2027-02-28,7,862,1724,SFO-HOU-SFO,600,2324,royalcaribbean SY07GAL sail-date 2027-02-28,cruisetimetables 28feb2027 day page,VERIFIED
GAL-07,"Galveston, TX",Carnival Miracle,2027-03-01,4,467,934,SFO-HOU-SFO,600,1534,carnival.com sailDate=03012027,cruisetimetables Mar2027 index,VERIFIED
GAL-08,"Galveston, TX",Liberty of the Seas,2027-03-01,5,573,1146,SFO-HOU-SFO,600,1746,royalcaribbean LB05GAL sail-date 2027-03-01,cruisetimetables Mar2027 index,VERIFIED
GAL-09,"Galveston, TX",Disney Magic,2027-03-03,4,2020,4040,SFO-HOU-SFO,600,4640,disneycruise DM1781,cruisetimetables Mar2027 (Disney Inside),VERIFIED (Inside fare)
GAL-10,"Galveston, TX",Carnival Miracle,2027-03-05,10,1137,2274,SFO-HOU-SFO,600,2874,carnival.com sailDate=03052027,cruisetimetables Mar2027 index,VERIFIED
