id,sailing,departure,check_1_schedule_index,check_2_official_link,check_3_price_read,check_4_scope,check_5_window,result
LA-57,"Voyager of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-02-19,PASS — dates/duration/itinerary/read interior $478pp from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-19feb2027.html,"PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/7-night-ensenada,-cabo-mazatlan-from-los-angeles-on-voyager/VY07LAX-2626294331?sail-date=2027-02-19&currency=USD",PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-58,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-02-26,PASS — dates/duration/itinerary/read interior $509pp from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-26feb2027.html,"PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo,-vallarta-mazatlan-from-los-angeles-on-voyager/VY07LAX-1182818524?sail-date=2027-02-26&currency=USD",PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-59,"Voyager of the Seas — 7-Night Ensenada, Cabo & Mazatlán",2027-03-05,PASS — dates/duration/itinerary/read interior $525pp from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-05mar2027.html,"PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/7-night-ensenada,-cabo-mazatlan-from-los-angeles-on-voyager/VY07LAX-2626294331?sail-date=2027-03-05&currency=USD",PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-60,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-03-12,PASS — dates/duration/itinerary/read interior $609pp from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-12mar2027.html,"PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo,-vallarta-mazatlan-from-los-angeles-on-voyager/VY07LAX-1182818524?sail-date=2027-03-12&currency=USD",PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-61,"Voyager of the Seas — 7-Night Cabo, Vallarta & Mazatlán",2027-03-19,PASS — dates/duration/itinerary/read interior $620pp from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-19mar2027.html,"PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo,-vallarta-mazatlan-from-los-angeles-on-voyager/VY07LAX-1182818524?sail-date=2027-03-19&currency=USD",PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-62,Voyager of the Seas — 6-Night Cabo Overnight & Catalina,2027-03-26,PASS — dates/duration/itinerary/read interior $638pp from: https://www.cruisetimetables.com/cruisesonvoyageroftheseas-26mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/6-night-cabo-overnight-catalina-from-los-angeles-on-voyager/VY06LAX-1729758938?sail-date=2027-03-26&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-63,"Ovation of the Seas — 7-Night Cabo Overnight, Catalina & Ensenada",2027-02-26,PASS — dates/duration/itinerary/read interior $650pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-26feb2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo-overnight-catalina-ensenada-from-los-angeles-on-ovation/OV07LAX-1983939617?sail-date=2027-02-26&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-64,Ovation of the Seas — 3-Night Ensenada,2027-03-05,PASS — dates/duration/itinerary/read interior $325pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-05mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-los-angeles-on-ovation/OV03LAX-1965470999?sail-date=2027-03-05&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-65,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-08,PASS — dates/duration/itinerary/read interior $366pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-08mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-los-angeles-on-ovation/OV04LAX-1005460505?sail-date=2027-03-08&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-66,"Ovation of the Seas — 7-Night Cabo Overnight, Catalina & Ensenada",2027-03-12,PASS — dates/duration/itinerary/read interior $706pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-12mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/7-night-cabo-overnight-catalina-ensenada-from-los-angeles-on-ovation/OV07LAX-1983939617?sail-date=2027-03-12&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-67,Ovation of the Seas — 3-Night Ensenada,2027-03-19,PASS — dates/duration/itinerary/read interior $349pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-19mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-los-angeles-on-ovation/OV03LAX-1965470999?sail-date=2027-03-19&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-68,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-22,PASS — dates/duration/itinerary/read interior $428pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-22mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-los-angeles-on-ovation/OV04LAX-1005460505?sail-date=2027-03-22&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-69,Ovation of the Seas — 3-Night Ensenada,2027-03-26,PASS — dates/duration/itinerary/read interior $488pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-26mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/3-night-ensenada-from-los-angeles-on-ovation/OV03LAX-1965470999?sail-date=2027-03-26&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-70,Ovation of the Seas — 4-Night Catalina & Ensenada,2027-03-29,PASS — dates/duration/itinerary/read interior $439pp from: https://www.cruisetimetables.com/cruisesonovationoftheseas-29mar2027.html,PASS — official voyage deep link present: https://www.royalcaribbean.com/cruises/itinerary/4-night-catalina-ensenada-from-los-angeles-on-ovation/OV04LAX-1005460505?sail-date=2027-03-29&currency=USD,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-71,Discovery Princess — 7-Night Mexican Riviera,2027-02-20,PASS — dates/duration/itinerary/read interior $599pp from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-20feb2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=X709,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-72,Discovery Princess — 7-Night Mexican Riviera,2027-02-27,PASS — dates/duration/itinerary/read interior $549pp from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-27feb2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=X710,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-73,Discovery Princess — 7-Night Mexican Riviera,2027-03-06,PASS — dates/duration/itinerary/read interior $749pp from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-06mar2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=X711,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-74,Discovery Princess — 7-Night Mexican Riviera,2027-03-13,PASS — dates/duration/itinerary/read interior $579pp from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-13mar2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=X712,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-75,Discovery Princess — 7-Night Mexican Riviera,2027-03-20,PASS — dates/duration/itinerary/read interior $649pp from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-20mar2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=X713,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-76,Discovery Princess — 7-Night Mexican Riviera,2027-03-27,PASS — dates/duration/itinerary/read interior $554pp from: https://www.cruisetimetables.com/cruisesondiscoveryprincess-27mar2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=X714,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-77,Emerald Princess — 16-Night Hawaiian Islands,2027-02-26,PASS — dates/duration/itinerary/read interior $1189pp from: https://www.cruisetimetables.com/cruisesonemeraldprincess-26feb2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=E705,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-78,Emerald Princess — 7-Night Classic California Coast,2027-03-21,PASS — dates/duration/itinerary/read interior $529pp from: https://www.cruisetimetables.com/cruisesonemeraldprincess-21mar2027.html,PASS — official voyage deep link present: https://www.princess.com/itinerary-details/?voyageCode=E707,PASS — interior per-person snapshot published in USD at index,"PASS — departs Los Angeles (San Pedro), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-79,Carnival Panorama — 6-Day Mexican Riviera,2027-03-07,PASS — dates/duration/itinerary/read interior $334pp from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-07mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/6-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/6-days/mrk/?sailDate=03072027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-80,Carnival Panorama — 8-Day Mexican Riviera,2027-03-13,PASS — dates/duration/itinerary/read interior $593pp from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-13mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/8-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/8-days/mrx/?sailDate=03132027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-81,Carnival Panorama — 6-Day Mexican Riviera,2027-03-21,PASS — dates/duration/itinerary/read interior $469pp from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-21mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/6-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/6-days/mrx/?sailDate=03212027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-82,Carnival Panorama — 8-Day Mexican Riviera,2027-03-27,PASS — dates/duration/itinerary/read interior $703pp from: https://www.cruisetimetables.com/cruisesoncarnivalpanorama-27mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/8-day-mexican-riviera-cruise/long-beach-los-angeles/panorama/8-days/mrx/?sailDate=03272027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-83,Carnival Radiance — 5-Day Mexican Riviera,2027-03-04,PASS — dates/duration/itinerary/read interior $392pp from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-04mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/5-day-mexican-riviera-cruise/long-beach-los-angeles/radiance/5-days/mrp/?sailDate=03042027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-84,Carnival Radiance — 5-Day Mexican Riviera,2027-03-09,PASS — dates/duration/itinerary/read interior $401pp from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-09mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/5-day-mexican-riviera-cruise/long-beach-los-angeles/radiance/5-days/mrq/?sailDate=03092027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-85,Carnival Radiance — 14-Day Hawaii,2027-03-14,PASS — dates/duration/itinerary/read interior $1278pp from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-14mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/14-day-hawaii-cruise/long-beach-los-angeles/radiance/14-days/jht/?sailDate=03142027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
LA-86,Carnival Radiance — 4-Day Baja Mexico,2027-03-28,PASS — dates/duration/itinerary/read interior $485pp from: https://www.cruisetimetables.com/cruisesoncarnivalradiance-28mar2027.html,PASS — official voyage deep link present: https://www.carnival.com/itinerary/4-day-baja-mexico-cruise/long-beach-los-angeles/radiance/4-days/lxn/?sailDate=03282027,PASS — interior per-person snapshot published in USD at index,"PASS — departs Long Beach (Los Angeles), CA (U.S. West Coast)",PASS — inside 2027-02-15…2027-03-31,ADDED
