id,sailing,departure,check_1_schedule_index,check_2_official_deep_link,check_3_price_read,check_4_port_sequence,check_5_scope_window,result
SD-01,Disney Wonder — Baja,2027-02-15,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $2,285 pp USD published (official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-02,Disney Wonder — Baja,2027-02-19,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,328 pp USD published (price UPDATED $3,508 → $2,656 (pp $1,754 → $1,328); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-03,Disney Wonder — Baja,2027-02-22,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,474 pp USD published (price UPDATED $3,716 → $2,948 (pp $1,858 → $1,474); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-04,Disney Wonder — Baja,2027-02-26,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,328 pp USD published (price UPDATED $3,508 → $2,656 (pp $1,754 → $1,328); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-05,Disney Wonder — Baja,2027-03-01,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,911 pp USD published (official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-06,Disney Wonder — Baja,2027-03-05,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,784 pp USD published (official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-07,Disney Wonder — Mexican Riviera,2027-03-12,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $3,430 pp USD published (price UPDATED $3,290 → $6,860 (pp $1,645 → $3,430); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-08,Disney Wonder — Baja,2027-03-19,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $1,946 pp USD published (official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-09,Disney Wonder — Baja,2027-03-22,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $2,824 pp USD published (official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-10,Disney Wonder — Baja,2027-03-26,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $2,341 pp USD published (price UPDATED $3,508 → $4,682 (pp $1,754 → $2,341); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-11,Disney Wonder — Baja,2027-03-29,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,"PASS — Interior $2,856 pp USD published (price UPDATED $3,352 → $5,712 (pp $1,676 → $2,856); official deep link upgraded (generic → sailing-specific))",PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-12,Serenade of the Seas — Ensenada,2027-02-18,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $335 pp USD published (price UPDATED $576 → $670 (pp $288 → $335); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
SD-13,Serenade of the Seas — Catalina & Ensenada,2027-02-21,PASS — matched 2027 port turnaround schedule index (SD/LA/SF/Seattle 2027 pages),PASS — official sailing deep link captured/verified,PASS — Interior $329 pp USD published (price UPDATED $684 → $658 (pp $342 → $329); official deep link upgraded (generic → sailing-specific)),PASS — port sequence matches index,PASS,IN WINDOW VERIFIED
